title,Year,Month,viewCount,likeCount,commentCount,durationSecs
"Liderlerin ""Çanakkale Zaferi"" mesajları neler? Oğuzcan Obuz aktardı",2023,Mar,483.0,3.0,2.0,201.0
HDP seçmeni Kılıçdaroğlu'na ne der? Metehan Demir değerlendirdi,2023,Mar,1941.0,6.0,1.0,2100.0
Çanakkale Zaferi'nde nasıl bir askeri strateji uygulandı? Gürsel Göncü anlattı,2023,Mar,394.0,9.0,3.0,1875.0
Kemal Kılıçdaroğlu'ndan 2 partiye ziyaret,2023,Mar,2987.0,14.0,5.0,137.0
Dünyanın ve ABD'nin öne çıkan gündemleri ne? Ali Çınar aktardı,2023,Mar,571.0,3.0,1.0,1315.0
"Milli Muharip Uçak ""pist başı"" yaptı!",2023,Mar,14552.0,144.0,51.0,74.0
Türkiye'den Finlandiya'nın NATO üyeliğine vize,2023,Mar,738.0,22.0,6.0,198.0
"Başta Gazi Mustafa Kemal Atatürk olmak üzere tüm şehitlerimizi saygı, minnet ve rahmetle anıyoruz...",2023,Mar,990.0,44.0,2.0,15.0
#CANLI - Çanakkale Zaferi'nin 108. Yılı... Cumhuriyet Meydanı'nda törenler düzenleniyor,2023,Mar,3661.0,47.0,6.0,40.0
Gaziantep ve Kilis'te sağanak ve dolu etkili oldu,2023,Mar,32479.0,122.0,32.0,57.0
İBB'nin güçlendirme projesine başvurular başladı,2023,Mar,711.0,3.0,3.0,115.0
Depremzedelerin oy kullanabilmesi için adres beyanı ve tarih verildi,2023,Mar,463.0,2.0,3.0,144.0
Galeria Sitesi'nin son bloku yıkım sırasında çöktü!,2023,Mar,1247.0,6.0,3.0,111.0
Seçim kampanyası nasıl olacak? | Teke Tek - 17 Mart 2023,2023,Mar,66756.0,1179.0,154.0,6462.0
"#CANLI - #OlaylarveGörüşler'de Serap Belet soruyor, konukları yanıtlıyor",2023,Mar,24596.0,57.0,55.0,6431.0
Ertelenen HDP – Kılıçdaroğlu görüşmesinin gündemi ne? Dr. Ali Haydar Fırat yanıtladı,2023,Mar,1210.0,9.0,4.0,499.0
Seçime 57 gün kala ittifakların stratejisi ne? Serkan Toper yanıtladı,2023,Mar,1017.0,7.0,13.0,394.0
Cumhurbaşkanlığı Yardımcılığı açıklamalarını nasıl yorumluyor? Dr. Ali Haydar Fırat yanıtladı,2023,Mar,576.0,3.0,3.0,243.0
Mansur Yavaş'ın açıklamaları hakkında ne düşünüyor? Serkan Toper yanıtladı,2023,Mar,2743.0,25.0,47.0,537.0
"#CANLI - #OlaylarveGörüşler'de Serap Belet soruyor, konukları yanıtlıyor",2023,Mar,7285.0,24.0,18.0,1712.0
6'lı Masa'nın liderleri Milletvekili olacak mı? Av. Bülent Kaya yanıtladı,2023,Mar,895.0,7.0,1.0,579.0
"#CANLI - #OlaylarveGörüşler'de Serap Belet soruyor, konukları yanıtlıyor",2023,Mar,5689.0,10.0,12.0,591.0
Mansur Yavaş'ın açıklamalarını nasıl yorumluyor? Faruk Aksoy yanıtladı,2023,Mar,5355.0,23.0,12.0,519.0
"#CANLI - #OlaylarveGörüşler'de Serap Belet soruyor, konukları yanıtlıyor",2023,Mar,13779.0,34.0,12.0,1679.0
Mansur Yavaş #TekeTek'te Fatih Altaylı'nın sorularını yanıtlıyor,2023,Mar,505638.0,8119.0,1114.0,7000.0
Diğer adaylara nasıl bakıyor? Mansur Yavaş yanıtladı,2023,Mar,3055.0,22.0,10.0,94.0
Sığınmacı problemine çözümleri ne? Mansur Yavaş yanıtladı,2023,Mar,5615.0,44.0,6.0,104.0
Seçim kampanyası nasıl olacak? Mansur Yavaş yanıtladı,2023,Mar,16321.0,140.0,62.0,419.0
Cumhurbaşkanlığı Adaylığını neden istemedi? Mansur Yavaş yanıtladı,2023,Mar,29048.0,249.0,107.0,500.0
Depreme karşı ne yapılabılır? Mansur Yavaş yanıtladı,2023,Mar,1473.0,8.0,6.0,314.0
Kentsel Dönüşüm hakkında ne düşünüyor? Mansur Yavaş yanıtladı,2023,Mar,1656.0,23.0,7.0,320.0
Sel felaketini önlemek mümkün mü? Mansur Yavaş yanıtladı,2023,Mar,5724.0,50.0,26.0,620.0
Hatay Havalimanı’nda ne oldu? Mansur Yavaş yanıtladı,2023,Mar,10103.0,75.0,29.0,221.0
Deprem bölgesinde neler yaptılar? Mansur Yavaş yanıtladı,2023,Mar,3501.0,34.0,7.0,865.0
Deprem bölgesinde son durum ne? Hüseyin Öztel aktardı,2023,Mar,922.0,6.0,1.0,364.0
Çavuşoğlu Mısır'da kimle görüşecek?,2023,Mar,526.0,2.0,2.0,421.0
"Türkiye ne istedi, İsveç ne yapmadı? | HT 360 - 17 Mart 2023",2023,Mar,896.0,5.0,0.0,4434.0
Uluslararası Ceza Mahkemesi'nden tutuklama kararı!,2023,Mar,3760.0,42.0,18.0,78.0
14 Mayıs’a ittifaklar nasıl gidiyor? Prof. Dr. Deniz Ülke Arıboğan yanıtladı,2023,Mar,1122.0,10.0,1.0,1752.0
"Türkiye'den, Finlandiya'ya NATO vizesi",2023,Mar,1918.0,14.0,8.0,1131.0
"#CANLI - Cumhurbaşkanı Erdoğan, mevkidaşı ile basın açıklaması yapıyor",2023,Mar,1825.0,8.0,3.0,1079.0
"Türkiye bunu konuşuyor! Şanlıurfa'da sele kapılan Reşat Ayva, yaşadıklarını anlattı",2023,Mar,1437.0,2.0,3.0,83.0
Mansur Yavaş TekeTek'te Fatih Altaylı'nın sorularını yanıtlıyor,2023,Mar,6406.0,90.0,4.0,15.0
Dışişleri Bakanı Çavuşoğlu Mısır'a gidiyor!,2023,Mar,634.0,6.0,3.0,373.0
14 Mayıs'a ittifaklar nasıl gidiyor? Nagehan Alçı ve Cem Küçük değerlendirdi,2023,Mar,2688.0,5.0,11.0,2481.0
Alt geçitte ölümle burun buruna gelen itfaiyeci Habertürk'e konuştu...,2023,Mar,466.0,2.0,3.0,220.0
Merkez bankasının faiz kararı ne olacak? | Para Gündem - 17 Mart 2023,2023,Mar,667.0,4.0,3.0,6032.0
#CANLI - Çevre Bakanı Murat Kurum Malatya'da açıklama yapıyor,2023,Mar,834.0,2.0,1.0,223.0
Kız Kulesi'nde 2'nci Mahmud  Dönemi,2023,Mar,2641.0,30.0,0.0,56.0
Fransa'da hükümet düşer mi? Kerim Üster değerlendirdi,2023,Mar,333.0,3.0,4.0,407.0
Seçim öncesi Dolar ve Euro ne olur? Prof. Dr. Erhan Aslanoğlu değerlendirdi,2023,Mar,4648.0,29.0,7.0,726.0
Yunanistan’da genel grev! Binlerce kişi sokağa çıktı!,2023,Mar,436.0,1.0,3.0,400.0
