channelTitle,title,publishedAt,viewCount,likeCount,commentCount,pushblishDayName,durationSecs,Month,Year,durationMins,durationHours
A Haber,Erkan Tan ile Sabah Ajansı / A Haber / 14.03.2022,2022-03-14 13:30:00+00:00,3367,50,16,Monday,7195.0,Mar,2022,119.92,2.0
A Haber,Başkan Erdoğan'dan sağlık çalışanlarına müjde üstüne müjde,2022-03-14 12:48:36+00:00,2133,36,42,Monday,1666.0,Mar,2022,27.77,0.46
A Haber,Irkçı cumhurbaşkanı adayına yumurtalı saldırı! O anlar kameralara böyle yansıdı,2022-03-14 12:30:07+00:00,1490,30,8,Monday,106.0,Mar,2022,1.77,0.03
A Haber,"TOGG, eksi 40 derecedeki testi başarıyla geçti",2022-03-14 12:00:00+00:00,8280,180,35,Monday,101.0,Mar,2022,1.68,0.03
A Haber,İstanbul'da yürekleri ısıtan görüntü #Shorts,2022-03-14 11:30:11+00:00,1540,54,3,Monday,47.0,Mar,2022,0.78,0.01
A Haber,"2012'de aracını satan adam, gelen tebligatla şok oldu!",2022-03-14 11:30:02+00:00,2267,43,3,Monday,180.0,Mar,2022,3.0,0.05
A Haber,Şanlıurfa'da işçi servisinin devrilmesi sonucu 15 kişi yaralandı,2022-03-14 11:00:01+00:00,1209,11,2,Monday,35.0,Mar,2022,0.58,0.01
A Haber,İç sızlatan görüntüler! tİşte Çırağan'daki ağaçların kesilme anı!,2022-03-14 10:30:04+00:00,1897,38,26,Monday,89.0,Mar,2022,1.48,0.02
A Haber,Merkez bankalarında karar haftası! TCMB'nin faiz kararı perşembe günü gelecek,2022-03-14 10:00:14+00:00,540,8,4,Monday,106.0,Mar,2022,1.77,0.03
A Haber,ABD'li gazeteci Brent Renaud Irpin'de öldürüldü,2022-03-14 09:30:02+00:00,656,10,3,Monday,134.0,Mar,2022,2.23,0.04
A Haber,"Gıdada spekülasyon mu, stokçuluk mu? Stokçular nasıl deşifre oldu?",2022-03-14 09:00:26+00:00,2622,53,14,Monday,1821.0,Mar,2022,30.35,0.51
A Haber,AK Parti ve MHP seçim kanunu teklifini TBMM'ye sundu,2022-03-14 08:44:17+00:00,1461,17,11,Monday,1279.0,Mar,2022,21.32,0.36
A Haber,"Kiev'de yerleşim yerine füze atıldı: 1 ölü, 3 yaralı",2022-03-14 08:30:07+00:00,1294,20,9,Monday,250.0,Mar,2022,4.17,0.07
A Haber,64 kilometrelik Rus konvoyu nerede? Çatışmalar nerelerde yoğunlaştı?,2022-03-14 08:00:04+00:00,2028,21,7,Monday,5279.0,Mar,2022,87.98,1.47
A Haber,Almanya Şansölyesi Olaf Scholz Türkiye'ye geliyor,2022-03-14 07:30:12+00:00,1755,40,10,Monday,188.0,Mar,2022,3.13,0.05
A Haber,Ukraynalı ve Rus heyetlerin müzakeresi online devam edecek,2022-03-14 07:20:29+00:00,2766,30,6,Monday,91.0,Mar,2022,1.52,0.03
A Haber,İstanbul'da vatandaşlar isyan etti: Belediyemizin çalışma gibi niyeti yok,2022-03-14 07:00:05+00:00,3339,81,29,Monday,168.0,Mar,2022,2.8,0.05
A Haber,İstanbul için turuncu alarm kalktı! Önümüzdeki günlerde hava nasıl olacak?,2022-03-14 06:30:18+00:00,3682,43,3,Monday,155.0,Mar,2022,2.58,0.04
A Haber,"Selçuk Bayraktar, 'Kızılelma'nın görüntülerini paylaştı",2022-03-14 05:53:16+00:00,27057,797,87,Monday,141.0,Mar,2022,2.35,0.04
A Haber,Mariupol’de ölen sivillerin sayısı açıklandı,2022-03-13 14:30:03+00:00,2199,33,15,Sunday,96.0,Mar,2022,1.6,0.03
A Haber,Hostomel Havalimanı'nın ele geçirilme anları paylaşıldı,2022-03-13 13:45:01+00:00,9804,161,11,Sunday,83.0,Mar,2022,1.38,0.02
A Haber,Rusya Polonya yakınlarındaki askeri üsse 30 füze fırlattı,2022-03-13 13:00:19+00:00,8994,130,10,Sunday,108.0,Mar,2022,1.8,0.03
A Haber,Antalya Diplomasi Forumu'ndan sonra konuşan Bakan Çavuşoğlu: Ülkemize duyulan güven açık,2022-03-13 12:18:35+00:00,1510,30,5,Sunday,1829.0,Mar,2022,30.48,0.51
A Haber,Unkapanı Köprüsü üçüncü kez ayrıldı,2022-03-13 11:30:06+00:00,1284,14,2,Sunday,264.0,Mar,2022,4.4,0.07
A Haber,Yunanistan Başbakanı Miçotakis İstanbul'da,2022-03-13 10:42:11+00:00,3189,58,12,Sunday,184.0,Mar,2022,3.07,0.05
A Haber,Yoğun kar Bolu Dağı'nı araç trafiğine kapattı #shorts,2022-03-13 10:00:12+00:00,2498,48,1,Sunday,25.0,Mar,2022,0.42,0.01
A Haber,At arabasını çektiği görüntüler yürekleri ısıttı,2022-03-13 09:30:08+00:00,8059,105,21,Sunday,66.0,Mar,2022,1.1,0.02
A Haber,Heyecanlandıran İnsansız Savaş Uçağı paylaşımı,2022-03-13 09:04:18+00:00,9391,243,59,Sunday,91.0,Mar,2022,1.52,0.03
A Haber,Antalya'ya inen Rus pilot: Ukrayna ile olan savaş suçtur,2022-03-13 08:30:01+00:00,9869,83,13,Sunday,57.0,Mar,2022,0.95,0.02
A Haber,Rusya ordusuna ait tank sivillere ait binayı vurdu,2022-03-13 08:00:02+00:00,3933,39,12,Sunday,70.0,Mar,2022,1.17,0.02
A Haber,Savaş dönemleri ekonomileri nasıl etkiliyor?,2022-03-13 07:00:24+00:00,1457,36,3,Sunday,271.0,Mar,2022,4.52,0.08
A Haber,Kocaeli'de kar yağışı trafiği olumsuz etkiledi,2022-03-13 06:30:00+00:00,2827,41,4,Sunday,133.0,Mar,2022,2.22,0.04
A Haber,İstanbul’da kar fırtınası geçit vermiyor,2022-03-13 06:00:00+00:00,3124,57,7,Sunday,293.0,Mar,2022,4.88,0.08
A Haber,Libya Dışişleri Bakanı'ndan A Haber'e önemli açıklamalar,2022-03-12 13:30:02+00:00,7589,128,22,Saturday,156.0,Mar,2022,2.6,0.04
A Haber,"CHP'li İBB, Çırağan Caddesi'nin sembolü olan ağaçları kesti",2022-03-12 13:00:28+00:00,5029,146,119,Saturday,235.0,Mar,2022,3.92,0.07
A Haber,"Köpeklerden kaçarken otomobil çarpmıştı! Rabia, yaşam mücadelesini kaybetti!",2022-03-12 12:21:15+00:00,12159,90,116,Saturday,74.0,Mar,2022,1.23,0.02
A Haber,A Haber ekibi Bucha'dan getirilen sivillerin yerleştiği okulda,2022-03-12 12:00:14+00:00,1503,16,6,Saturday,363.0,Mar,2022,6.05,0.1
A Haber,MHP lideri Devlet Bahçeli'den 'arabuluculuk' açıklaması: Türkiye'yi takdir etmek lazım,2022-03-12 11:30:14+00:00,2380,66,19,Saturday,508.0,Mar,2022,8.47,0.14
A Haber,Kuzey Marmara Otoyolu'nda 4 tır birbirine girdi!,2022-03-12 11:00:18+00:00,1160,14,4,Saturday,46.0,Mar,2022,0.77,0.01
A Haber,"Bakan Çavuşoğlu, Ermeni mevkidaşı ile bir araya geldi",2022-03-12 10:30:08+00:00,4995,111,19,Saturday,212.0,Mar,2022,3.53,0.06
A Haber,Meteoroloji uzmanı saat verip uyardı! İstanbul'da kar yağışı aralıksız devam edecek,2022-03-12 10:00:08+00:00,5686,58,24,Saturday,106.0,Mar,2022,1.77,0.03
A Haber,TURKOVAC’ın mucidi  Prof. Dr. Aykut Özdarendeli A Haber’e konuştu: Üretimi önemli bir model,2022-03-12 09:30:09+00:00,2076,58,13,Saturday,212.0,Mar,2022,3.53,0.06
A Haber,ABD Başkanı Biden'dan Ukrayna'ya destek açıklaması,2022-03-12 09:00:14+00:00,5780,93,13,Saturday,116.0,Mar,2022,1.93,0.03
A Haber,"Rusya, Ukrayna'ya gönüllü savaşçı gönderecek!",2022-03-12 08:30:05+00:00,9733,72,16,Saturday,162.0,Mar,2022,2.7,0.05
A Haber,Sağlık Bakanlığı'na 20 bin personel alınacak,2022-03-12 08:00:30+00:00,10340,61,29,Saturday,86.0,Mar,2022,1.43,0.02
A Haber,Türkiye'nin diplomasi başarısı dünya gündeminde... ABD'den Türkiye'ye teşekkür geldi,2022-03-12 07:30:11+00:00,14004,270,20,Saturday,101.0,Mar,2022,1.68,0.03
A Haber,Kiev'de sokaklar cephe hattı oldu! Rus güçleri belediye başkanını kaçırdı!,2022-03-12 07:00:06+00:00,5940,107,7,Saturday,277.0,Mar,2022,4.62,0.08
A Haber,Rus zırhlıları Kiev girişinde pusuya düşürüldü!,2022-03-12 06:30:01+00:00,3681,77,7,Saturday,64.0,Mar,2022,1.07,0.02
A Haber,64 kilometrelik Rus ordusu Kiev çevresinde konuşlandı,2022-03-12 06:02:00+00:00,5367,80,13,Saturday,74.0,Mar,2022,1.23,0.02
A Haber,"Ukrayna Cumhurbaşkanı Zelenski, Polonya Meclisi'ne hitap etti! ""Özgürlük savaşımızı kazanacağız!""",2022-03-11 16:21:00+00:00,2641,31,18,Friday,230.0,Mar,2022,3.83,0.06
A Haber,"ABD Başkanı Joe Biden, Rusya'ya yönelik yeni yaptırımları açıkladı!",2022-03-11 15:58:29+00:00,1676,25,9,Friday,469.0,Mar,2022,7.82,0.13
A Haber,Can Okanar ile Ajans / A Haber / 11.03.2022,2022-03-11 15:30:05+00:00,1593,11,2,Friday,4763.0,Mar,2022,79.38,1.32
A Haber,8 Mart Dünya Kadınlar Günü'nde Türkiye’nin önde gelen kadınları bu  zirvede bir araya geldi,2022-03-11 15:00:20+00:00,337,0,1,Friday,13792.0,Mar,2022,229.87,3.83
A Haber,Letonya Savunma Bakanı Artis Pabriks'ten A Haber'e özel açıklamalar,2022-03-11 14:30:06+00:00,1429,44,1,Friday,437.0,Mar,2022,7.28,0.12
A Haber,Cansın Helvacı ile Ajans Bugün / A Haber / 11.03.2022,2022-03-11 14:00:17+00:00,1962,17,5,Friday,9285.0,Mar,2022,154.75,2.58
A Haber,Rusya Devlet Başkanı Putin'den flaş 'Ukrayna' açıklaması,2022-03-11 13:45:01+00:00,8253,84,5,Friday,60.0,Mar,2022,1.0,0.02
A Haber,Bakan Çavuşoğlu: Antalya Diplomasi Forumu 75 ülkeden katılımcıyı bir araya getirdi.,2022-03-11 13:30:07+00:00,993,30,1,Friday,514.0,Mar,2022,8.57,0.14
A Haber,Başkan Erdoğan: Bölgemizde sulh için montrö dahil her uygulamayı kullanacağız,2022-03-11 13:00:27+00:00,5060,158,28,Friday,1628.0,Mar,2022,27.13,0.45
A Haber,Vanlı market sahibinden yağa hücum eden vatandaşlara tokat gibi cevap,2022-03-11 12:30:28+00:00,2627,54,10,Friday,129.0,Mar,2022,2.15,0.04
A Haber,Bu kadarına da pes! ABD Başkan Yardımcısı'ndan sığınmacı sorusuna skandal yanıt!,2022-03-11 12:30:09+00:00,9257,154,41,Friday,110.0,Mar,2022,1.83,0.03
A Haber,"Unkapanı Köprüsü, bağlantı noktasındaki ayrılma nedeniyle trafiğe kapatıldı",2022-03-11 12:11:22+00:00,1321,17,3,Friday,301.0,Mar,2022,5.02,0.08
A Haber,İstanbul'da kar yağışı ne kadar sürecek? Yarın hava nasıl olacak?,2022-03-11 12:00:23+00:00,17383,179,34,Friday,303.0,Mar,2022,5.05,0.08
A Haber,"Eski Hazine ve Maliye Bakanı Berat Albayrak’ın kitabı ""Burası Çok Önemli"" bugün raflarda",2022-03-11 11:30:05+00:00,993,22,19,Friday,203.0,Mar,2022,3.38,0.06
A Haber,Pendik'te devrilen TIR'a müdahale edildi,2022-03-11 11:00:30+00:00,3525,24,2,Friday,180.0,Mar,2022,3.0,0.05
A Haber,Erkan Tan ile Sabah Ajansı / A Haber / 11.03.2022,2022-03-11 10:30:13+00:00,3053,39,3,Friday,7695.0,Mar,2022,128.25,2.14
A Haber,Ons altın ve petrolde geri çekilme devam ediyor,2022-03-11 10:00:33+00:00,1425,18,1,Friday,221.0,Mar,2022,3.68,0.06
A Haber,"Rus ordusu, Kiev'e iki paralel koldan ilerliyor",2022-03-11 09:30:04+00:00,9575,71,11,Friday,162.0,Mar,2022,2.7,0.05
A Haber,İstanbul'da dondurucu soğuk ve kar ne kadar sürecek?,2022-03-11 09:00:31+00:00,4269,45,7,Friday,151.0,Mar,2022,2.52,0.04
A Haber,"Rus ordusu, hangi bölgelerde hangi silahları sahaya sürdü?",2022-03-11 08:30:14+00:00,12540,95,14,Friday,5919.0,Mar,2022,98.65,1.64
A Haber,İstanbul'daki otogarlardan şehirler arası otobüs seferleri durduruldu,2022-03-11 08:00:24+00:00,6286,48,11,Friday,61.0,Mar,2022,1.02,0.02
A Haber,Rusya-Ukrayna savaşında ateşkes için Türkiye kilit ülke mi?,2022-03-11 07:30:00+00:00,4204,54,8,Friday,2900.0,Mar,2022,48.33,0.81
A Haber,Sivas'ta yolcu otobüsü devrildi: 34 yaralı,2022-03-11 07:00:07+00:00,5452,55,9,Friday,71.0,Mar,2022,1.18,0.02
A Haber,Sarıyer'de İETT otobüslerinin karıştığı kaza kamerada; 4 yaralı,2022-03-11 06:30:00+00:00,4206,58,11,Friday,36.0,Mar,2022,0.6,0.01
A Haber,İstanbul'da kuvvetli kar yağışı! Tır ve kamyonlara kente giriş yasağı getirildi,2022-03-11 06:00:25+00:00,3177,54,3,Friday,112.0,Mar,2022,1.87,0.03
